source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,137247,สยามเภสัช,ULCEFATE,"(sucralfate 1 g/5 mL) oral suspension, 60 mL bottle",สยามเภสัช,ACTIVE
TMT,137193,สยามเภสัช,ULCEFATE,"(sucralfate 500 mg) chewable tablet, 1 tablet",สยามเภสัช,ACTIVE
TMT,1132686,สยามเภสัช,ULCEFATE,"(sucralfate 500 mg) tablet, 1 tablet",สยามเภสัช,ACTIVE
TMT,828750,ที.โอ. ฟาร์ม่า,ULCEGEL,(aluminium hydroxide 172.33 mg/5 mL + magnesium hydroxide 200 mg/5 mL + simeticone 25 mg/5 mL) oral ,ที.โอ. ฟาร์ม่า,ACTIVE
TMT,828732,ที.โอ. ฟาร์ม่า,ULCEGEL,(aluminium hydroxide 172.33 mg/5 mL + magnesium hydroxide 200 mg/5 mL + simeticone 25 mg/5 mL) oral ,ที.โอ. ฟาร์ม่า,ACTIVE
TMT,101084,ที.โอ. เคมีคอลส์ (1979,ULCEMET 200,"(กรุงเทพฯ)) (cimetidine 200 mg) tablet, 1 tablet",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,102158,ที.โอ. เคมีคอลส์ (1979,ULCEMET 400,"(กรุงเทพฯ)) (cimetidine 400 mg) tablet, 1 tablet",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,102307,ที.โอ. ฟาร์ม่า,ULCEMET 800,"(cimetidine 800 mg) tablet, 1 tablet",ที.โอ. ฟาร์ม่า,ACTIVE
TMT,102162,ยูนีซัน,ULCENON,"(cimetidine 400 mg) film-coated tablet, 1 tablet (invalid)",ยูนีซัน,ACTIVE
TMT,102640,ยูนีซัน,ULCENON,"(cimetidine 400 mg) film-coated tablet, 1 tablet",ยูนีซัน,ACTIVE
TMT,103961,"MEDOCHEMIE, CYPRUS",ULCERAN 20,"(famotidine 20 mg) film-coated tablet, 1 tablet","MEDOCHEMIE, CYPRUS",ACTIVE
TMT,103770,"MEDOCHEMIE, CYPRUS",ULCERAN 40,"(famotidine 40 mg) film-coated tablet, 1 tablet (invalid)","MEDOCHEMIE, CYPRUS",ACTIVE
TMT,104040,"MEDOCHEMIE, CYPRUS",ULCERAN 40,"(famotidine 40 mg) film-coated tablet, 1 tablet","MEDOCHEMIE, CYPRUS",ACTIVE
TMT,1052799,อังกฤษตรางู,ULCERID ORAL PASTE,"(triamcinolone acetonide 100 mg/100 g) oromucosal paste, 5 g tube",อังกฤษตรางู,ACTIVE
TMT,103829,เบสซี่แอรอน,ULCERIN-20,"(famotidine 20 mg) coated tablet, 1 tablet",เบสซี่แอรอน,ACTIVE
TMT,103864,เบสซี่แอรอน,ULCERIN-40,"(famotidine 40 mg) coated tablet, 1 tablet",เบสซี่แอรอน,ACTIVE
TMT,101097,ฟาร์มา ซัพพลาย,ULCIMET,"(cimetidine 200 mg) film-coated tablet, 1 tablet",ฟาร์มา ซัพพลาย,ACTIVE
TMT,101107,โปลิฟาร์ม,ULCIMET 200,"(cimetidine 200 mg) film-coated tablet, 1 tablet",โปลิฟาร์ม,ACTIVE
TMT,102170,โปลิฟาร์ม,ULCIMET 400,"(cimetidine 400 mg) film-coated tablet, 1 tablet",โปลิฟาร์ม,ACTIVE
TMT,102189,ฟาร์มา ซัพพลาย,ULCIMET 400,"(cimetidine 400 mg) film-coated tablet, 1 tablet",ฟาร์มา ซัพพลาย,ACTIVE
